kjv,gist,root,type,meaning,kjgv,original,morph
,call,קָרֹא|karo,V,call,"[קָרַא]|[kara]|he [call]",קָ֣רָא,HVpSA3ms
,night,לַילָה|laiylah,m,night,[לַילָה]|[laiylah]|[night],לָ֑יְלָה,Hms
"Gen 1:5 ג: And the evening and the morning were the first day.",,,,,,,,
,were,הָיֹה|haiyoh,V,exist,"וַיְ[הִי]־|vaiye[hi]|and he [exist]",וַֽיְהִי־,HViSA3ms
,evening,עָרְב|arev,m,"evening (get dark)","[עָרְב]|[arev]|[evening] (get dark)",עֶ֥רֶב,Hms
,,הָיֹה|haiyoh,V,exist,"וַיְ[הִי]־|vaiye[hi]|and he [exist]",וַֽיְהִי־,HViSA3ms
,morning,בֹּקֶר|boker,m,"morning (be searched)","[בֹּקֶר]|[boker]|[morning] (be searched)",בֹ֖קֶר,Hms
,day,יוֹם|yom,m,day,[יוֹם]|[yom]|[day],י֥וֹם,Hms
,first,אֶחָד|echad,m,"first (1st)","[אֶחָד]׃פ|[echad]|[first] (1st)",אֶחָֽד׃פ,Hms
"Gen 1:6 א: And God said,",,,,,,,,
,say,אָמֹר|amor,V,say,"וַיֹ[אמֵר]|vaiyo[mer]|and he [say]",וַיֹּ֣אמֶר,HViSA3ms
,God,אֱלֹה|eloh,M,"God (mighty one)","[אֱלֹהִ]ים|[eloh]im|[God] (mighty one)",אֱלֹהִ֔ים,Mp
"Gen 1:6 ב: Let there be a firmament in the midst of the waters,",,,,,,,,
,"let be",הָיֹה|haiyoh,V,exist,"יְ[הִי]|ye[hi]|let him [exist]",יְהִ֥י,HVjSA3ms
,firmament,רָקִיע|rakia,m,"overlay (hammering)","[רָקִיע]|[rakia]|[overlay] (hammering)",רָקִ֖יעַ,Hms
,midst,תוֹך|toch,m,midst,"בְּ[תוֹך]|be[toch]|in [midst]",בְּת֣וֹךְ,Hms
